,Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Tipo de delito,Subtipo de delito,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
37,2015,1,Aguascalientes,1001,Aguascalientes,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
135,2015,1,Aguascalientes,1002,Asientos,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
233,2015,1,Aguascalientes,1003,Calvillo,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
331,2015,1,Aguascalientes,1004,Cosío,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
429,2015,1,Aguascalientes,1005,Jesús María,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
527,2015,1,Aguascalientes,1006,Pabellón de Arteaga,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
625,2015,1,Aguascalientes,1007,Rincón de Romos,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
723,2015,1,Aguascalientes,1008,San José de Gracia,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
821,2015,1,Aguascalientes,1009,Tepezalá,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
919,2015,1,Aguascalientes,1010,El Llano,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1017,2015,1,Aguascalientes,1011,San Francisco de los Romo,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1115,2015,2,Baja California,2001,Ensenada,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1213,2015,2,Baja California,2002,Mexicali,Incesto,Incesto,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1311,2015,2,Baja California,2003,Tecate,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1409,2015,2,Baja California,2004,Tijuana,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1507,2015,2,Baja California,2005,Playas de Rosarito,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1605,2015,3,Baja California Sur,3001,Comondú,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1703,2015,3,Baja California Sur,3002,Mulegé,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1801,2015,3,Baja California Sur,3003,La Paz,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1899,2015,3,Baja California Sur,3008,Los Cabos,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1997,2015,3,Baja California Sur,3009,Loreto,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2095,2015,4,Campeche,4001,Calkiní,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2193,2015,4,Campeche,4002,Campeche,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2291,2015,4,Campeche,4003,Carmen,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2389,2015,4,Campeche,4004,Champotón,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2487,2015,4,Campeche,4005,Hecelchakán,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2585,2015,4,Campeche,4006,Hopelchén,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2683,2015,4,Campeche,4007,Palizada,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2781,2015,4,Campeche,4008,Tenabo,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2879,2015,4,Campeche,4009,Escárcega,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2977,2015,4,Campeche,4010,Calakmul,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3075,2015,4,Campeche,4011,Candelaria,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3173,2015,5,Coahuila de Zaragoza,5001,Abasolo,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3271,2015,5,Coahuila de Zaragoza,5002,Acuña,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0
3369,2015,5,Coahuila de Zaragoza,5003,Allende,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3467,2015,5,Coahuila de Zaragoza,5004,Arteaga,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3565,2015,5,Coahuila de Zaragoza,5005,Candela,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3663,2015,5,Coahuila de Zaragoza,5006,Castaños,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3761,2015,5,Coahuila de Zaragoza,5007,Cuatro Ciénegas,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3859,2015,5,Coahuila de Zaragoza,5008,Escobedo,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3957,2015,5,Coahuila de Zaragoza,5009,Francisco I. Madero,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4055,2015,5,Coahuila de Zaragoza,5010,Frontera,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4153,2015,5,Coahuila de Zaragoza,5011,General Cepeda,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4251,2015,5,Coahuila de Zaragoza,5012,Guerrero,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4349,2015,5,Coahuila de Zaragoza,5013,Hidalgo,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4447,2015,5,Coahuila de Zaragoza,5014,Jiménez,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4545,2015,5,Coahuila de Zaragoza,5015,Juárez,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4643,2015,5,Coahuila de Zaragoza,5016,Lamadrid,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4741,2015,5,Coahuila de Zaragoza,5017,Matamoros,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4839,2015,5,Coahuila de Zaragoza,5018,Monclova,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4937,2015,5,Coahuila de Zaragoza,5019,Morelos,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5035,2015,5,Coahuila de Zaragoza,5020,Múzquiz,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5133,2015,5,Coahuila de Zaragoza,5021,Nadadores,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5231,2015,5,Coahuila de Zaragoza,5022,Nava,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5329,2015,5,Coahuila de Zaragoza,5023,Ocampo,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5427,2015,5,Coahuila de Zaragoza,5024,Parras,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5525,2015,5,Coahuila de Zaragoza,5025,Piedras Negras,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5623,2015,5,Coahuila de Zaragoza,5026,Progreso,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5721,2015,5,Coahuila de Zaragoza,5027,Ramos Arizpe,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5819,2015,5,Coahuila de Zaragoza,5028,Sabinas,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5917,2015,5,Coahuila de Zaragoza,5029,Sacramento,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6015,2015,5,Coahuila de Zaragoza,5030,Saltillo,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6113,2015,5,Coahuila de Zaragoza,5031,San Buenaventura,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6211,2015,5,Coahuila de Zaragoza,5032,San Juan de Sabinas,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6309,2015,5,Coahuila de Zaragoza,5033,San Pedro,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6407,2015,5,Coahuila de Zaragoza,5034,Sierra Mojada,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6505,2015,5,Coahuila de Zaragoza,5035,Torreón,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6603,2015,5,Coahuila de Zaragoza,5036,Viesca,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6701,2015,5,Coahuila de Zaragoza,5037,Villa Unión,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6799,2015,5,Coahuila de Zaragoza,5038,Zaragoza,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6897,2015,6,Colima,6001,Armería,Incesto,Incesto,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
